notification-hub	ko/console-guide/statistics.md	M	G	G	0/0	0/0	auto
notification-hub	ko/console-guide/template.md	M	G	O	0/0	1/0	auto
notification-hub	ko/error-code.md	M	G	O	0/0	4/0	auto
notification-hub	ko/overview.md	M	G	G	0/0	0/0	auto
notification-hub	ko/problem-solving-guide.md	M	G	G	0/0	0/0	auto
notification-hub	ko/release-note.md	M	G	G	0/0	0/0	auto
notification-hub	ko/service-policy-and-precondition/alimtalk-and-friendtalk.md	M	G	O	0/0	1/0	auto
notification-hub	ko/service-policy-and-precondition/email.md	M	G	G	0/0	0/0	auto
notification-hub	ko/service-policy-and-precondition/identity-verification.md	M	G	G	0/0	0/0	auto
notification-hub	ko/service-policy-and-precondition/international-sms.md	M	G	G	0/0	0/0	auto
notification-hub	ko/service-policy-and-precondition/push.md	M	G	O	0/0	1/0	auto
notification-hub	ko/service-policy-and-precondition/rcs.md	M	G	G	0/0	0/0	auto
notification-hub	ko/service-policy-and-precondition/sms.md	M	G	R	0/0	1/2	auto
pipeline	ko/release-notes.md	M	G	G	0/0	0/0	auto
